Entity,Code,Year,CO₂ emissions per capita
Benin,BEN,1990,0.10969383
Burkina Faso,BFA,1990,0.06480454
Cape Verde,CPV,1990,0.4782054
Gambia,GMB,1990,0.18759404
Ghana,GHA,1990,0.22824657
Guinea,GIN,1990,0.15033236
Guinea-Bissau,GNB,1990,0.097839326
Liberia,LBR,1990,0.20512603
Mali,MLI,1990,0.04600185
Mauritania,MRT,1990,0.43727973
Niger,NER,1990,0.07226614
Nigeria,NGA,1990,0.39935368
Saint Helena,SHN,1990,1.1037807
Senegal,SEN,1990,0.3795022
Sierra Leone,SLE,1990,0.11873331
Togo,TGO,1990,0.24448691
